Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","004","Afghanistan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.96","E","Estimated value"
"ET","Temperature change","008","Albania","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.823","E","Estimated value"
"ET","Temperature change","012","Algeria","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.094","E","Estimated value"
"ET","Temperature change","016","American Samoa","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.924","E","Estimated value"
"ET","Temperature change","020","Andorra","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.813","E","Estimated value"
"ET","Temperature change","024","Angola","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.975","E","Estimated value"
"ET","Temperature change","660","Anguilla","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.861","E","Estimated value"
"ET","Temperature change","010","Antarctica","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.658","E","Estimated value"
"ET","Temperature change","028","Antigua and Barbuda","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.806","E","Estimated value"
"ET","Temperature change","032","Argentina","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.756","E","Estimated value"
"ET","Temperature change","051","Armenia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.853","E","Estimated value"
"ET","Temperature change","533","Aruba","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.152","E","Estimated value"
"ET","Temperature change","036","Australia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.411","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.369","E","Estimated value"
"ET","Temperature change","031","Azerbaijan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.012","E","Estimated value"
"ET","Temperature change","044","Bahamas","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.585","E","Estimated value"
"ET","Temperature change","048","Bahrain","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.986","E","Estimated value"
"ET","Temperature change","050","Bangladesh","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.109","E","Estimated value"
"ET","Temperature change","052","Barbados","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.111","E","Estimated value"
"ET","Temperature change","112","Belarus","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.65","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.038","E","Estimated value"
"ET","Temperature change","084","Belize","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.309","E","Estimated value"
"ET","Temperature change","204","Benin","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.329","E","Estimated value"
"ET","Temperature change","064","Bhutan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.127","E","Estimated value"
"ET","Temperature change","068","Bolivia (Plurinational State of)","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.713","E","Estimated value"
"ET","Temperature change","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.05","E","Estimated value"
"ET","Temperature change","072","Botswana","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.912","E","Estimated value"
"ET","Temperature change","076","Brazil","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.547","E","Estimated value"
"ET","Temperature change","092","British Virgin Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.915","E","Estimated value"
"ET","Temperature change","096","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.372","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.19","E","Estimated value"
"ET","Temperature change","854","Burkina Faso","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.196","E","Estimated value"
"ET","Temperature change","108","Burundi","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","132","Cabo Verde","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.905","E","Estimated value"
"ET","Temperature change","116","Cambodia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.513","E","Estimated value"
"ET","Temperature change","120","Cameroon","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.446","E","Estimated value"
"ET","Temperature change","124","Canada","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.32","E","Estimated value"
"ET","Temperature change","136","Cayman Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.348","E","Estimated value"
"ET","Temperature change","140","Central African Republic","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.262","E","Estimated value"
"ET","Temperature change","148","Chad","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.433","E","Estimated value"
"ET","Temperature change","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.541","E","Estimated value"
"ET","Temperature change","152","Chile","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.51","E","Estimated value"
"ET","Temperature change","159","China","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.413","E","Estimated value"
"ET","Temperature change","344","China, Hong Kong SAR","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.827","E","Estimated value"
"ET","Temperature change","446","China, Macao SAR","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.827","E","Estimated value"
"ET","Temperature change","156","China, mainland","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.413","E","Estimated value"
"ET","Temperature change","158","China, Taiwan Province of","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.407","E","Estimated value"
"ET","Temperature change","162","Christmas Island","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.367","E","Estimated value"
"ET","Temperature change","166","Cocos (Keeling) Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.655","E","Estimated value"
"ET","Temperature change","170","Colombia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.25","E","Estimated value"
"ET","Temperature change","174","Comoros","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.1","E","Estimated value"
"ET","Temperature change","178","Congo","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.46","E","Estimated value"
"ET","Temperature change","184","Cook Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.119","E","Estimated value"
"ET","Temperature change","188","Costa Rica","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","384","Côte d'Ivoire","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.508","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.117","E","Estimated value"
"ET","Temperature change","192","Cuba","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.572","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.589","E","Estimated value"
"ET","Temperature change","203","Czechia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.533","E","Estimated value"
"ET","Temperature change","408","Democratic People's Republic of Korea","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.886","E","Estimated value"
"ET","Temperature change","180","Democratic Republic of the Congo","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.633","E","Estimated value"
"ET","Temperature change","208","Denmark","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.185","E","Estimated value"
"ET","Temperature change","262","Djibouti","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.351","E","Estimated value"
"ET","Temperature change","212","Dominica","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.766","E","Estimated value"
"ET","Temperature change","214","Dominican Republic","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.246","E","Estimated value"
"ET","Temperature change","218","Ecuador","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.06","E","Estimated value"
"ET","Temperature change","818","Egypt","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.975","E","Estimated value"
"ET","Temperature change","222","El Salvador","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.034","E","Estimated value"
"ET","Temperature change","226","Equatorial Guinea","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.452","E","Estimated value"
"ET","Temperature change","232","Eritrea","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.872","E","Estimated value"
"ET","Temperature change","233","Estonia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.183","E","Estimated value"
"ET","Temperature change","748","Eswatini","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.591","E","Estimated value"
"ET","Temperature change","231","Ethiopia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.373","E","Estimated value"
"ET","Temperature change","238","Falkland Islands (Malvinas)","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.881","E","Estimated value"
"ET","Temperature change","242","Fiji","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.018","E","Estimated value"
"ET","Temperature change","246","Finland","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.436","E","Estimated value"
"ET","Temperature change","250","France","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.888","E","Estimated value"
"ET","Temperature change","254","French Guyana","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.466","E","Estimated value"
"ET","Temperature change","258","French Polynesia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.864","E","Estimated value"
"ET","Temperature change","260","French Southern Territories","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.364","E","Estimated value"
"ET","Temperature change","266","Gabon","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.402","E","Estimated value"
"ET","Temperature change","270","Gambia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.548","E","Estimated value"
"ET","Temperature change","268","Georgia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.736","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.314","E","Estimated value"
"ET","Temperature change","288","Ghana","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.489","E","Estimated value"
"ET","Temperature change","292","Gibraltar","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.326","E","Estimated value"
"ET","Temperature change","300","Greece","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.406","E","Estimated value"
"ET","Temperature change","304","Greenland","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.201","E","Estimated value"
"ET","Temperature change","308","Grenada","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.892","E","Estimated value"
"ET","Temperature change","312","Guadeloupe","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.818","E","Estimated value"
"ET","Temperature change","320","Guatemala","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.364","E","Estimated value"
"ET","Temperature change","324","Guinea","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.57","E","Estimated value"
"ET","Temperature change","624","Guinea-Bissau","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.642","E","Estimated value"
"ET","Temperature change","328","Guyana","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.178","E","Estimated value"
"ET","Temperature change","332","Haiti","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.716","E","Estimated value"
"ET","Temperature change","336","Holy See","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.46","E","Estimated value"
"ET","Temperature change","340","Honduras","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.107","E","Estimated value"
"ET","Temperature change","348","Hungary","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.393","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.396","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.809","E","Estimated value"
"ET","Temperature change","360","Indonesia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.021","E","Estimated value"
"ET","Temperature change","364","Iran (Islamic Republic of)","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.508","E","Estimated value"
"ET","Temperature change","368","Iraq","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.671","E","Estimated value"
"ET","Temperature change","372","Ireland","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.248","E","Estimated value"
"ET","Temperature change","833","Isle of Man","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.172","E","Estimated value"
"ET","Temperature change","376","Israel","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.304","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.639","E","Estimated value"
"ET","Temperature change","388","Jamaica","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.479","E","Estimated value"
"ET","Temperature change","392","Japan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.215","E","Estimated value"
"ET","Temperature change","400","Jordan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.433","E","Estimated value"
"ET","Temperature change","398","Kazakhstan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.47","E","Estimated value"
"ET","Temperature change","404","Kenya","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.498","E","Estimated value"
"ET","Temperature change","296","Kiribati","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.376","E","Estimated value"
"ET","Temperature change","414","Kuwait","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.693","E","Estimated value"
"ET","Temperature change","417","Kyrgyzstan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.647","E","Estimated value"
"ET","Temperature change","418","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.124","E","Estimated value"
"ET","Temperature change","428","Latvia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.428","E","Estimated value"
"ET","Temperature change","422","Lebanon","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.553","E","Estimated value"
