Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","426","Lesotho","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.761","E","Estimated value"
"ET","Temperature change","430","Liberia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.499","E","Estimated value"
"ET","Temperature change","434","Libya","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.822","E","Estimated value"
"ET","Temperature change","438","Liechtenstein","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.054","E","Estimated value"
"ET","Temperature change","440","Lithuania","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.601","E","Estimated value"
"ET","Temperature change","442","Luxembourg","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.143","E","Estimated value"
"ET","Temperature change","450","Madagascar","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.328","E","Estimated value"
"ET","Temperature change","454","Malawi","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.115","E","Estimated value"
"ET","Temperature change","458","Malaysia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.446","E","Estimated value"
"ET","Temperature change","462","Maldives","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.088","E","Estimated value"
"ET","Temperature change","466","Mali","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.267","E","Estimated value"
"ET","Temperature change","470","Malta","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.243","E","Estimated value"
"ET","Temperature change","584","Marshall Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.718","E","Estimated value"
"ET","Temperature change","474","Martinique","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.786","E","Estimated value"
"ET","Temperature change","478","Mauritania","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.469","E","Estimated value"
"ET","Temperature change","480","Mauritius","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.308","E","Estimated value"
"ET","Temperature change","175","Mayotte","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.17","E","Estimated value"
"ET","Temperature change","484","Mexico","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.307","E","Estimated value"
"ET","Temperature change","583","Micronesia (Federated States of)","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.791","E","Estimated value"
"ET","Temperature change","488","Midway Island","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","492","Monaco","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.7","E","Estimated value"
"ET","Temperature change","496","Mongolia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.849","E","Estimated value"
"ET","Temperature change","499","Montenegro","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.923","E","Estimated value"
"ET","Temperature change","500","Montserrat","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.806","E","Estimated value"
"ET","Temperature change","504","Morocco","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.578","E","Estimated value"
"ET","Temperature change","508","Mozambique","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.079","E","Estimated value"
"ET","Temperature change","104","Myanmar","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.691","E","Estimated value"
"ET","Temperature change","516","Namibia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.713","E","Estimated value"
"ET","Temperature change","520","Nauru","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","524","Nepal","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.746","E","Estimated value"
"ET","Temperature change","528","Netherlands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.116","E","Estimated value"
"ET","Temperature change","530","Netherlands Antilles (former)","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.024","E","Estimated value"
"ET","Temperature change","540","New Caledonia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.749","E","Estimated value"
"ET","Temperature change","554","New Zealand","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.041","E","Estimated value"
"ET","Temperature change","558","Nicaragua","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.105","E","Estimated value"
"ET","Temperature change","562","Niger","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.151","E","Estimated value"
"ET","Temperature change","566","Nigeria","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.243","E","Estimated value"
"ET","Temperature change","570","Niue","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","574","Norfolk Island","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.817","E","Estimated value"
"ET","Temperature change","807","North Macedonia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.967","E","Estimated value"
"ET","Temperature change","578","Norway","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.231","E","Estimated value"
"ET","Temperature change","512","Oman","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.032","E","Estimated value"
"ET","Temperature change","586","Pakistan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.648","E","Estimated value"
"ET","Temperature change","585","Palau","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","275","Palestine","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.298","E","Estimated value"
"ET","Temperature change","591","Panama","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.239","E","Estimated value"
"ET","Temperature change","598","Papua New Guinea","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.696","E","Estimated value"
"ET","Temperature change","600","Paraguay","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.176","E","Estimated value"
"ET","Temperature change","604","Peru","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.952","E","Estimated value"
"ET","Temperature change","608","Philippines","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.151","E","Estimated value"
"ET","Temperature change","612","Pitcairn","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","616","Poland","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.615","E","Estimated value"
"ET","Temperature change","620","Portugal","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.25","E","Estimated value"
"ET","Temperature change","630","Puerto Rico","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.054","E","Estimated value"
"ET","Temperature change","634","Qatar","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.819","E","Estimated value"
"ET","Temperature change","410","Republic of Korea","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.407","E","Estimated value"
"ET","Temperature change","498","Republic of Moldova","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.336","E","Estimated value"
"ET","Temperature change","638","Réunion","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.412","E","Estimated value"
"ET","Temperature change","642","Romania","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.266","E","Estimated value"
"ET","Temperature change","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.181","E","Estimated value"
"ET","Temperature change","646","Rwanda","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","654","Saint Helena, Ascension and Tristan da Cunha","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.509","E","Estimated value"
"ET","Temperature change","659","Saint Kitts and Nevis","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.806","E","Estimated value"
"ET","Temperature change","662","Saint Lucia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.871","E","Estimated value"
"ET","Temperature change","666","Saint Pierre and Miquelon","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.062","E","Estimated value"
"ET","Temperature change","670","Saint Vincent and the Grenadines","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.879","E","Estimated value"
"ET","Temperature change","882","Samoa","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.828","E","Estimated value"
"ET","Temperature change","674","San Marino","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.658","E","Estimated value"
"ET","Temperature change","678","Sao Tome and Principe","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.341","E","Estimated value"
"ET","Temperature change","682","Saudi Arabia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.803","E","Estimated value"
"ET","Temperature change","686","Senegal","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.492","E","Estimated value"
"ET","Temperature change","688","Serbia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.159","E","Estimated value"
"ET","Temperature change","690","Seychelles","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.17","E","Estimated value"
"ET","Temperature change","694","Sierra Leone","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.522","E","Estimated value"
"ET","Temperature change","702","Singapore","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","703","Slovakia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.423","E","Estimated value"
"ET","Temperature change","705","Slovenia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.367","E","Estimated value"
"ET","Temperature change","090","Solomon Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.599","E","Estimated value"
"ET","Temperature change","706","Somalia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.677","E","Estimated value"
"ET","Temperature change","710","South Africa","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.752","E","Estimated value"
"ET","Temperature change","239","South Georgia and the South Sandwich Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.317","E","Estimated value"
"ET","Temperature change","728","South Sudan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.774","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.446","E","Estimated value"
"ET","Temperature change","144","Sri Lanka","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.338","E","Estimated value"
"ET","Temperature change","729","Sudan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.816","E","Estimated value"
"ET","Temperature change","740","Suriname","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.645","E","Estimated value"
"ET","Temperature change","744","Svalbard and Jan Mayen Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.871","E","Estimated value"
"ET","Temperature change","752","Sweden","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.572","E","Estimated value"
"ET","Temperature change","756","Switzerland","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.042","E","Estimated value"
"ET","Temperature change","760","Syrian Arab Republic","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.624","E","Estimated value"
"ET","Temperature change","762","Tajikistan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.431","E","Estimated value"
"ET","Temperature change","764","Thailand","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.774","E","Estimated value"
"ET","Temperature change","626","Timor-Leste","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.999","E","Estimated value"
"ET","Temperature change","768","Togo","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.444","E","Estimated value"
"ET","Temperature change","772","Tokelau","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","776","Tonga","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.032","E","Estimated value"
"ET","Temperature change","780","Trinidad and Tobago","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.224","E","Estimated value"
"ET","Temperature change","788","Tunisia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.317","E","Estimated value"
"ET","Temperature change","792","Türkiye","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.639","E","Estimated value"
"ET","Temperature change","795","Turkmenistan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.768","E","Estimated value"
"ET","Temperature change","796","Turks and Caicos Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","798","Tuvalu","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.127","E","Estimated value"
"ET","Temperature change","800","Uganda","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.227","E","Estimated value"
"ET","Temperature change","804","Ukraine","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.355","E","Estimated value"
"ET","Temperature change","784","United Arab Emirates","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.247","E","Estimated value"
"ET","Temperature change","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.247","E","Estimated value"
"ET","Temperature change","834","United Republic of Tanzania","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.266","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.032","E","Estimated value"
"ET","Temperature change","850","United States Virgin Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.937","E","Estimated value"
"ET","Temperature change","858","Uruguay","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.862","E","Estimated value"
"ET","Temperature change","860","Uzbekistan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.93","E","Estimated value"
"ET","Temperature change","548","Vanuatu","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.803","E","Estimated value"
"ET","Temperature change","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.171","E","Estimated value"
"ET","Temperature change","704","Viet Nam","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.864","E","Estimated value"
"ET","Temperature change","872","Wake Island","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","876","Wallis and Futuna Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.11","E","Estimated value"
"ET","Temperature change","732","Western Sahara","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.43","E","Estimated value"
"ET","Temperature change","887","Yemen","7271","Temperature change","7020","Meteorological year","2019","2019","°C","","O","Missing value"
"ET","Temperature change","894","Zambia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.295","E","Estimated value"
"ET","Temperature change","716","Zimbabwe","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.939","E","Estimated value"
